bundle,feature_count,c_value,threshold,n,positive_n,prevalence,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed,null_probability_train_prevalence,null_model_brier,brier_skill_score
core_8_plus_behavior_history,16,10.0,0.467890201182971,36273,917,0.025280511675350812,0.6274523732003119,0.040662610474805065,1.6084567827182161,0.6837513631406761,0.5047516687408078,0.03457021558140817,0.06581295266085861,0.2359881882540723,0.5000137843575111,17846,17510,290,627,True,0.025280511675350812,0.024641407404783267,-8.576895685279059
core_8_plus_bmi_history_hypertension,13,0.01,0.45288626961736095,36273,917,0.025280511675350812,0.646614469950328,0.043798437768893125,1.732498073272694,0.7142857142857143,0.5004242561375721,0.03575717873130255,0.06810501689628282,0.23242904600944783,0.505003721776528,17693,17663,262,655,True,0.025280511675350812,0.024641407404783267,-8.432458227379085
core_8_plus_bmi_history_hypertension,13,0.1,0.4524697636036264,36273,917,0.025280511675350812,0.646670574778699,0.04367098686480692,1.7274566047406124,0.7142857142857143,0.5004242561375721,0.03575717873130255,0.06810501689628282,0.23251563602192377,0.505003721776528,17693,17663,262,655,True,0.025280511675350812,0.024641407404783267,-8.435972231715507
core_8_plus_bmi_history_hypertension,13,1.0,0.45239843491034626,36273,917,0.025280511675350812,0.6466876930743262,0.043638445450725746,1.726169391313168,0.7142857142857143,0.5004242561375721,0.03575717873130255,0.06810501689628282,0.23252651890387258,0.505003721776528,17693,17663,262,655,True,0.025280511675350812,0.024641407404783267,-8.436413881892788
core_8_plus_bmi_history_hypertension,13,10.0,0.4523545752916997,36273,917,0.025280511675350812,0.6466883407936203,0.04363080431174081,1.7258671371862315,0.7142857142857143,0.5004242561375721,0.03575717873130255,0.06810501689628282,0.23250629080005317,0.505003721776528,17693,17663,262,655,True,0.025280511675350812,0.024641407404783267,-8.435592983009574
core_8_plus_longitudinal,22,0.01,0.4604244330480799,36273,917,0.025280511675350812,0.6343302113674611,0.04113854462927129,1.6272829109460822,0.707742639040349,0.5002545536825432,0.0354296320559013,0.06748115414608787,0.23426770751717865,0.505003721776528,17687,17669,268,649,True,0.025280511675350812,0.024641407404783267,-8.507074968116626
core_8_plus_longitudinal,22,0.1,0.4598487370516216,36273,917,0.025280511675350812,0.6336384780052418,0.04105478691716377,1.6239697773678097,0.707742639040349,0.5002545536825432,0.0354296320559013,0.06748115414608787,0.2343621190397523,0.505003721776528,17687,17669,268,649,True,0.025280511675350812,0.024641407404783267,-8.510906385739116
core_8_plus_longitudinal,22,1.0,0.4597942219804667,36273,917,0.025280511675350812,0.6334803111224012,0.04103300217366801,1.623108056538124,0.7066521264994547,0.5002262699400385,0.03537504094333443,0.06737717702105536,0.23438756286616763,0.505003721776528,17686,17670,269,648,True,0.025280511675350812,0.024641407404783267,-8.511938949585709
core_8_plus_longitudinal,22,10.0,0.4597873523790775,36273,917,0.025280511675350812,0.6334628535452391,0.04103069535545417,1.6230168076645466,0.7066521264994547,0.5002262699400385,0.03537504094333443,0.06737717702105536,0.23438704905096916,0.505003721776528,17686,17670,269,648,True,0.025280511675350812,0.024641407404783267,-8.51191809788718
core_8_plus_longitudinal_hypertension,23,0.01,0.4500663134135599,36273,917,0.025280511675350812,0.6468387196230447,0.04397609419972778,1.7395254797238013,0.7131952017448201,0.5003959723950673,0.03570258761873567,0.06800103977125033,0.2315717540523781,0.505003721776528,17692,17664,263,654,True,0.025280511675350812,0.024641407404783267,-8.397667521516102
core_8_plus_longitudinal_hypertension,23,0.1,0.44926927302268826,36273,917,0.025280511675350812,0.6462765918071774,0.04395522582001155,1.738700006727676,0.707742639040349,0.5002545536825432,0.0354296320559013,0.06748115414608787,0.23165818289961124,0.505003721776528,17687,17669,268,649,True,0.025280511675350812,0.024641407404783267,-8.401174985428913
core_8_plus_longitudinal_hypertension,23,1.0,0.44909568482626566,36273,917,0.025280511675350812,0.6462051884659576,0.04394010297744366,1.7381018051262966,0.7088331515812432,0.5002828374250481,0.03548422316846817,0.06758513127112036,0.23169525429782453,0.505003721776528,17688,17668,267,650,True,0.025280511675350812,0.024641407404783267,-8.40267942052892
core_8_plus_longitudinal_hypertension,23,10.0,0.44914717311170893,36273,917,0.025280511675350812,0.646203461214507,0.04393588620185771,1.7379350056706486,0.707742639040349,0.5002545536825432,0.0354296320559013,0.06748115414608787,0.23169705594679238,0.505003721776528,17687,17669,268,649,True,0.025280511675350812,0.024641407404783267,-8.40275253522315
